canonical_metabolite,item_type,therapeutic_group,disease_or_use_area,mild_to_heavy_class,extreme_or_special_caution,notes
Isocarboxazid,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Isoniazid,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Ketamine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Anesthetic/dissociative; controlled in many jurisdictions.
Laninamivir,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Levetiracetam,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Levodopa,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Levofloxacin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Lubiprostone,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Meclofenoxate,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Mecysteine,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Melevodopa,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Mepivacaine,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Mesalamine,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Metaxalone,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Metformin,Parent drug / active compound,Metabolic / endocrine / gout / nutrition,"Diabetes, gout, thyroid, or vitamin/metabolic use",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Methadone,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,"Opioid; controlled/special monitoring, overdose and QT-risk concerns."
Methenamine,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Methohexital,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Barbiturate anesthetic; specialist procedural use.
Methoxamine,Parent drug / active compound,Other / niche / research / unclear from name,"Niche, rare, research, analytical, or mixed/uncertain use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Methyl Salicylate,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Methyldopate,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Methylthiouracil,Parent drug / active compound,Metabolic / endocrine / gout / nutrition,"Diabetes, gout, thyroid, or vitamin/metabolic use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Metomidate,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Anesthetic/sedative class; specialist procedural use.
Metoprolol,Parent drug / active compound,Other / niche / research / unclear from name,"Niche, rare, research, analytical, or mixed/uncertain use",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Metoprolol acid,Metabolite / degradation or conjugated form,Other / niche / research / unclear from name,"Niche, rare, research, analytical, or mixed/uncertain use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Metyrosine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Mibefradil,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Heavy / special caution or non-routine,Yes,"Withdrawn, rare, or high-caution compound in many contexts."
Midodrine,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Miglitol,Parent drug / active compound,Metabolic / endocrine / gout / nutrition,"Diabetes, gout, thyroid, or vitamin/metabolic use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Modafinil,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Wakefulness-promoting agent; controlled in some jurisdictions.
Mono-isopropyl-disopyramide,Metabolite / degradation or conjugated form,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Morphine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Opioid analgesic; controlled/special monitoring.
Mupirocin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
N-Acetylprocainamide,Metabolite / degradation or conjugated form,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
N-di-Demethyl roxithromycin,Metabolite / degradation or conjugated form,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Nelarabine,Parent drug / active compound,Oncology / cellular therapy support,"Cancer, photopheresis/psoralen, cytotoxic, targeted or specialist cellular-therapy context",Heavy / high-risk or specialist,Yes,Antineoplastic agent; specialist oncology use.
Nialamide,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Nicardipine,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Nicotinamide,Parent drug / active compound,Metabolic / endocrine / gout / nutrition,"Diabetes, gout, thyroid, or vitamin/metabolic use",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Olodaterol,Parent drug / active compound,Respiratory / ENT / decongestant,Asthma/COPD bronchodilation or decongestant use,Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Olopatadine,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Ornidazole,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
ortho-hydroxyatorvastatin,Metabolite / degradation or conjugated form,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Oxonorfloxacin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
P-O-Desmethyl Verapamil,Metabolite / degradation or conjugated form,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Penbutolol,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Penethamate,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Perindoprilat,"Drug, prodrug, ester, or salt/formulation",Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Phendimetrazine,Parent drug / active compound,Other / niche / research / unclear from name,"Niche, rare, research, analytical, or mixed/uncertain use",Heavy / high-risk or specialist,Yes,Stimulant/anorectic; controlled or restricted in many places.
Pheneturide,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Phenmetrazine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Stimulant/anorectic; abuse-potential concern.
Phenobarbital,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Barbiturate/antiepileptic; dependence/sedation risk.
Phenprocoumon,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Phentolamine,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Phenylbutazone,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
phenylephrine,Parent drug / active compound,Respiratory / ENT / decongestant,Asthma/COPD bronchodilation or decongestant use,Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Phenytoin catechol,Metabolite / degradation or conjugated form,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Moderate / needs supervision or monitoring,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Physostigmine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Pilsicainide,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Pimozide,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
PIRACETAM,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Pirbuterol,Parent drug / active compound,Respiratory / ENT / decongestant,Asthma/COPD bronchodilation or decongestant use,Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Piribedil,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Polidocanol,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Pravastatin,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Mild / common-use or lower-intensity,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Prednisolone,Parent drug / active compound,Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Prednisone,Parent drug / active compound,Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Moderate / needs supervision or monitoring,No,Steroid/hormonal/prostaglandin-related; dose and indication strongly affect risk.
Prilocaine,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Primaquine,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Primidone,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Moderate / needs supervision or monitoring,No,"Practical classification; verify exact indication, country status, and formulation."
Probucol,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Propafenone,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Propafenone glucuronide,Metabolite / degradation or conjugated form,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Analytical/metabolite — severity depends on parent drug,No,Likely listed as metabolite/exposure marker rather than something directly prescribed.
Propranolol,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Mild / common-use or lower-intensity,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Propyphenazone,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Proscillaridin,Parent drug / active compound,Other / niche / research / unclear from name,"Niche, rare, research, analytical, or mixed/uncertain use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Pseudoephedrine,Parent drug / active compound,Respiratory / ENT / decongestant,Asthma/COPD bronchodilation or decongestant use,Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Pyrazinamide,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Pyridostigmine,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Pyridoxine,Parent drug / active compound,Metabolic / endocrine / gout / nutrition,"Diabetes, gout, thyroid, or vitamin/metabolic use",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Quinaprilat,"Drug, prodrug, ester, or salt/formulation",Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Regadenoson,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Remimazolam,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Procedural sedative/anesthetic; specialist use.
Rifampicin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Rimiterol,Parent drug / active compound,Respiratory / ENT / decongestant,Asthma/COPD bronchodilation or decongestant use,Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Salbutamol,Parent drug / active compound,Respiratory / ENT / decongestant,Asthma/COPD bronchodilation or decongestant use,Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
salicylamide,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Sapacitabine,Parent drug / active compound,Oncology / cellular therapy support,"Cancer, photopheresis/psoralen, cytotoxic, targeted or specialist cellular-therapy context",Heavy / high-risk or specialist,Yes,Antineoplastic/research-specialist context.
securinine,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Sisomicin sulfate,"Drug, prodrug, ester, or salt/formulation",Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Sodium Tetradecyl Sulfate,"Drug, prodrug, ester, or salt/formulation",Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Stavudine,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Streptomycin sulfate,"Drug, prodrug, ester, or salt/formulation",Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Sulbactam,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Sulfadimidine,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Tamsulosin,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Taribavirin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Tazarotene,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Telmisartan,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Temafloxacin,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Heavy / special caution or non-routine,Yes,"Withdrawn, rare, or high-caution compound in many contexts."
Terbutaline,Parent drug / active compound,Respiratory / ENT / decongestant,Asthma/COPD bronchodilation or decongestant use,Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Terizidone,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Testosterone enanthate,"Drug, prodrug, ester, or salt/formulation",Steroid / hormone / reproductive,"Inflammation, endocrine, reproductive, prostaglandin, or androgen/estrogen-related",Heavy / high-risk or specialist,Yes,Androgen/anabolic steroid; controlled/doping relevance.
Thalidomide,Parent drug / active compound,Oncology / cellular therapy support,"Cancer, photopheresis/psoralen, cytotoxic, targeted or specialist cellular-therapy context",Heavy / high-risk or specialist,Yes,Strict controls due to severe birth-defect risk.
Thiocolchicoside,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Thiotepa,Parent drug / active compound,Oncology / cellular therapy support,"Cancer, photopheresis/psoralen, cytotoxic, targeted or specialist cellular-therapy context",Heavy / high-risk or specialist,Yes,Cytotoxic chemotherapy/conditioning agent; high-risk specialist use.
Tilmicosin,Veterinary / non-routine human-use drug,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Heavy / special caution or non-routine,Yes,Primarily veterinary/non-routine human context; verify intended use.
Tirofiban,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Tocainide,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
Tolmetin,Parent drug / active compound,Pain / inflammation / dermatology / local procedural,"NSAID-related, inflammation, skin, muscle, local anesthesia, or procedural",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Toloxatone,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Tranexamic Acid,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild-to-moderate / context-dependent,No,"Practical classification; verify exact indication, country status, and formulation."
Trichlormethiazide,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
TRIMETAZIDINE,Parent drug / active compound,Cardiovascular / hematology,"Blood pressure, heart rhythm, lipids, clotting, or vascular use",Moderate / needs supervision or monitoring,No,Cardiovascular/hematology class; monitoring may be needed depending on subtype.
trimethoprim,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Valaciclovir,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Vecuronium,Parent drug / active compound,CNS / pain / anesthesia / psychiatric,"Neurology, pain, sedation, psychiatry, movement disorders, or dependence-related",Heavy / high-risk or specialist,Yes,Neuromuscular blocker/paralytic; anesthesia/ICU-only type use.
VIBEGRON,Parent drug / active compound,GI / GU / ophthalmic / other organ systems,"Gastrointestinal, urinary, eye, bladder, or miscellaneous organ-system use",Mild / common-use or lower-intensity,No,"Practical classification; verify exact indication, country status, and formulation."
Vicriviroc,Parent drug / active compound,Anti-infective,Bacterial/viral/fungal/TB/parasitic infection,Moderate / needs supervision or monitoring,No,"Anti-infective; pathogen, resistance, and organ-function context matter."
Zilpaterol,Veterinary / non-routine human-use drug,Other / niche / research / unclear from name,"Niche, rare, research, analytical, or mixed/uncertain use",Heavy / special caution or non-routine,Yes,Primarily veterinary/non-routine human context; verify intended use.
